,,,,,,,,
,,,Serial BOM,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Item #,*Designator,*Qty,Manufacturer,*Mfg Part #,Description / Value,*Package/Footprint ,Type,Your Instructions / Notes
1,J1,1,TE Connectivity,3-338168-2,3-338168-2,33381682,THT,
2,IC1,1,Zywyn Corporation ,ZT213LEEA,ZT213LEEA,SOP65P780X200-28N,SMD,
3,"C1,C3,C5,C7,C8,C9,C10",7,Murata Electronics,GRM155R71E104KE14D ,0.1uF,C_0402_1005Metric,SMD,
4,"C2,C4",2,Murata Electronics,GCM1555C1H470FA16D ,47pF,C_0402_1005Metric,SMD,
5,C6,1,Murata Electronics,GRM155R61E475ME15D ,4.7uF,C_0402_1005Metric,SMD,
6,D1,1,Lite-on,LTST-C191KRKT ,RED RX,LED_0603_1608Metric,SMD,
7,D2,1,Lite-on,LTST-C190TBKT ,BLUE TX,LED_0603_1608Metric,SMD,
8,D3,1,Lite-on,LTST-C191KGKT ,GREEN PWR,LED_0603_1608Metric,SMD,
9,FB1,1,TDK,MPZ1608S221ATA00 ,2A 220 OHM,BEADC1608X75N,SMD,
10,IC2,1,FTDI,FT231XS-R,FT231XS-R,SOP64P599X175-20N,SMD,
11,R1,1,YAGEO,RC0402JR-075K1L ,5.1K,R_0402_1005Metric,SMD,
12,"R2,R3",2,YAGEO,RC0402JR-0727KL,27k,R_0402_1005Metric,SMD,
13,"R4,R5",2,YAGEO,RC0402FR-07470RL ,470R,R_0402_1005Metric,SMD,
14,P1,1,Molex,105444-0001,USB_C_Plug_USB2.0,USB_C_Plug_Molex_105444,SMD,Please solder both sides.
